"name","beschaeftigte_jahr","beschaeftigte","umsatz","adressecheck","beschreibung","adressegesamt","adresse","plz","land","ansprechperson","tel","email","website","seite","adressegesamtat","long","lat","geocodedadress","sparten","typ"
"SVI Austria GmbH","2017","250","2014/15: 76,62 Mio. EUR","Frauentaler Straße 100
8530 Deutschlandsberg, Steiermark",NA,"Frauentaler Straße 100, 8530 Deutschlandsberg","Frauentaler Straße 100","8530 Deutschlandsberg","Austria | Österreich","Gerold Grill","T +43 / 3462 / 68 00 - 0","E office@svi-austria.com","W www.SVI-HQ.com",126,"Frauentaler Straße 100, 8530 Deutschlandsberg , Österreich",15.2332067,46.8200923,"frauentaler str. 100, 8530 deutschlandsberg, austria","e","TEST EQUIPMENT"
"Thales","2016","308","2016: 87,72 Mio. EUR","Handelskai 92
1200 Wien",NA,"Handelskai 92, 1200 Wien","Handelskai 92","1200 Wien","Austria | Österreich","Christian Loew","T +43 / 664 / 850 13 44","E christian.loew@thalesgroup.com","W www.thalesgroup.com/austria",130,"Handelskai 92, 1200 Wien , Österreich",16.3850288,48.24236,"handelskai 92, 1200 wien, austria","e","OPTICAL EQUIPMENT & OPTO-ELECTRONICS"
"3D Elements GmbH","2015","8",NA,"Sparkassenplatz 5
6020 Innsbruck, Tirol","3D-Fotostudios, 3D-Datenverarbeitung","Sparkassenplatz 5, 6020 Innsbruck","Sparkassenplatz 5","6020 Innsbruck","Austria | Österreich","Dominik Leitner","T +43 / 664 / 121 98 88","E service@3delements.com","W www.3delements.com",15,"Sparkassenplatz 5, 6020 Innsbruck , Österreich",11.3943177,47.2661034,"sparkassenpl. 5, 6020 innsbruck, austria","f","OTHERS"
"Carbon-solutions Hintsteiner GmbH","2017","19",NA,"Kirchengasse 1
8644 Kindberg, Steiermark",NA,"Kirchengasse 1, 8644 Mürzhofen","Kirchengasse 1","8644 Mürzhofen","Austria | Österreich","Martin Hintsteiner","T +43 / 3864 / 23 36","E office@hintsteiner.at","W www.hintsteiner-group.com",33,"Kirchengasse 1, 8644 Mürzhofen , Österreich",15.3955771,47.4848094,"kirchengasse 1, 8644 mürzhofen, austria","f","LOGISTICS & MEDICAL & HUMANITARIAN EQUIPMENT"
"ESL Advanced Information Technology ","#N/A","n.v.","#N/A","#N/A",NA,"Obachgasse 26, 1220 Wien","Obachgasse 26","1220 Wien","Austria | Österreich",NA,"T +43 / 1 / 256 24 53 - 0","E office@eslait.at","W www.eslait.at",48,"Obachgasse 26, 1220 Wien , Österreich",16.4625505,48.2582287,"obachgasse 26, 1220 wien, austria","f","ENGINEERING SERVICES & TRAINING"
"HAST GmbH","#N/A","n.v.","#N/A","#N/A",NA,"Furt 43, 4754 Andrichsfurt","Furt 43","4754 Andrichsfurt","Austria | Österreich","Gottfried Koger","T +43 / 699 / 158 880 39","E g.koger@hast.cc","W www.hast.cc",63,"Furt 43, 4754 Andrichsfurt , Österreich",13.5174359,48.2543326,"furt 43, 4754 andrichsfurt, austria","f","OPTICAL EQUIPMENT & OPTO-ELECTRONICS"
"JOANNEUM RESEARCH - DIGITAL","#N/A","n.v.","#N/A","#N/A",NA,"Leonhardstraße 59, 8010 Graz","Leonhardstraße 59","8010 Graz","Austria | Österreich","Maria Fellner","T +43 / 316 / 876 1637","E sales.digital@joanneum.at","W www.joanneum.at/digital",72,"Leonhardstraße 59, 8010 Graz , Österreich",15.4549304,47.0739965,"leonhardstraße 59, 8010 graz, austria","f","ICT & CYBER"
"SAIL LABS Technology","2017","22",NA,"Mariannengasse 14
1090 Wien",NA,"Mariannengasse 14, 1090 Wien","Mariannengasse 14","1090 Wien","Austria | Österreich",NA,"T +43 / 1 / 580 95 - 0","E info4speech@sail-labs.com","W www.sail-labs.com",108,"Mariannengasse 14, 1090 Wien , Österreich",16.3483915,48.2162468,"mariannengasse 14, 1090 wien, austria","f","ICT & CYBER"
"SVI Austria GmbH","2017","250","2014/15: 76,62 Mio. EUR","Frauentaler Straße 100
8530 Deutschlandsberg, Steiermark",NA,"Frauentaler Straße 100, 8530 Deutschlandsberg","Frauentaler Straße 100","8530 Deutschlandsberg","Austria | Österreich","Gerold Grill","T +43 / 3462 / 68 00 - 0","E office@svi-austria.com","W www.SVI-HQ.com",126,"Frauentaler Straße 100, 8530 Deutschlandsberg , Österreich",15.2332067,46.8200923,"frauentaler str. 100, 8530 deutschlandsberg, austria","f","LOGISTICS & MEDICAL & HUMANITARIAN EQUIPMENT"
"Carbon-solutions Hintsteiner GmbH","2017","19",NA,"Kirchengasse 1
8644 Kindberg, Steiermark",NA,"Kirchengasse 1, 8644 Mürzhofen","Kirchengasse 1","8644 Mürzhofen","Austria | Österreich","Martin Hintsteiner","T +43 / 3864 / 23 36","E office@hintsteiner.at","W www.hintsteiner-group.com",33,"Kirchengasse 1, 8644 Mürzhofen , Österreich",15.3955771,47.4848094,"kirchengasse 1, 8644 mürzhofen, austria","g","DEMILITARISATION & DEMINING"
"ESL Advanced Information Technology ","#N/A","n.v.","#N/A","#N/A",NA,"Obachgasse 26, 1220 Wien","Obachgasse 26","1220 Wien","Austria | Österreich",NA,"T +43 / 1 / 256 24 53 - 0","E office@eslait.at","W www.eslait.at",48,"Obachgasse 26, 1220 Wien , Österreich",16.4625505,48.2582287,"obachgasse 26, 1220 wien, austria","g","ICT & CYBER"
"HAST GmbH","#N/A","n.v.","#N/A","#N/A",NA,"Furt 43, 4754 Andrichsfurt","Furt 43","4754 Andrichsfurt","Austria | Österreich","Gottfried Koger","T +43 / 699 / 158 880 39","E g.koger@hast.cc","W www.hast.cc",63,"Furt 43, 4754 Andrichsfurt , Österreich",13.5174359,48.2543326,"furt 43, 4754 andrichsfurt, austria","g","ENGINEERING SERVICES & TRAINING"
"JOANNEUM RESEARCH - DIGITAL","#N/A","n.v.","#N/A","#N/A",NA,"Leonhardstraße 59, 8010 Graz","Leonhardstraße 59","8010 Graz","Austria | Österreich","Maria Fellner","T +43 / 316 / 876 1637","E sales.digital@joanneum.at","W www.joanneum.at/digital",72,"Leonhardstraße 59, 8010 Graz , Österreich",15.4549304,47.0739965,"leonhardstraße 59, 8010 graz, austria","g","OTHERS"
"SVI Austria GmbH","2017","250","2014/15: 76,62 Mio. EUR","Frauentaler Straße 100
8530 Deutschlandsberg, Steiermark",NA,"Frauentaler Straße 100, 8530 Deutschlandsberg","Frauentaler Straße 100","8530 Deutschlandsberg","Austria | Österreich","Gerold Grill","T +43 / 3462 / 68 00 - 0","E office@svi-austria.com","W www.SVI-HQ.com",126,"Frauentaler Straße 100, 8530 Deutschlandsberg , Österreich",15.2332067,46.8200923,"frauentaler str. 100, 8530 deutschlandsberg, austria","g","ENGINEERING SERVICES & TRAINING"
"SVI Austria GmbH","2017","250","2014/15: 76,62 Mio. EUR","Frauentaler Straße 100
8530 Deutschlandsberg, Steiermark",NA,"Frauentaler Straße 100, 8530 Deutschlandsberg","Frauentaler Straße 100","8530 Deutschlandsberg","Austria | Österreich","Gerold Grill","T +43 / 3462 / 68 00 - 0","E office@svi-austria.com","W www.SVI-HQ.com",126,"Frauentaler Straße 100, 8530 Deutschlandsberg , Österreich",15.2332067,46.8200923,"frauentaler str. 100, 8530 deutschlandsberg, austria","h","OTHERS"
